# Deep-sky objects — format: id,name,ra_hours,dec_degrees,magnitude,type
# To expand: replace with OpenNGC CSV (github.com/mattiaverga/OpenNGC)
# Type codes: oc=open cluster  gc=globular cluster  neb=nebula  gal=galaxy  pn=planetary nebula
#
# DSOs from OpenNGC — id,name,ra_hours,dec_degrees,magnitude,type
IC0010,IC 10,0.338150,59.303778,10.35,gal
IC0127,IC 127,1.496558,-6.980056,9.2,gal
IC0143,IC 143,1.569703,30.776417,11.4,neb
IC0239,IC 239,2.607744,38.969917,11.2,gal
IC0284,IC 284,3.102753,42.371917,11.59,gal
IC0334,IC 334,3.754744,76.638306,11.5,gal
IC0342,IC 342,3.780139,68.096361,9.68,gal
IC0351,IC 351,3.792503,35.046917,11.9,pn
IC0356,IC 356,4.129697,69.812444,10.24,gal
IC0405,Flaming Star Nebula,5.274856,34.356167,10.0,neb
IC0418,IC 418,5.457831,-12.697278,9.44,pn
IC0434,Flame Nebula,5.683578,-2.453778,11.0,neb
IC0443,Gem A,6.277058,22.531667,12.0,neb
IC0444,IC 444,6.309444,23.313333,7.03,neb
IC0447,IC 447,6.516756,9.897444,7.7,neb
IC0520,IC 520,8.895072,73.490944,11.83,gal
IC0750,IC 750,11.981167,42.722472,11.82,gal
IC0983,IC 983,14.167881,17.733833,11.96,gal
IC1029,IC 1029,14.540906,49.904611,11.29,gal
IC1266,IC 1266,17.759806,-46.089861,11.2,pn
IC1284,IC 1284,18.294342,-19.672028,7.7,neb
IC1287,IC 1287,18.523803,-10.795806,6.1,neb
IC1297,IC 1297,19.289833,-39.613056,10.7,pn
IC1459,IC 1459,22.952947,-36.462222,10.54,gal
IC1470,IC 1470,23.086169,60.244083,11.5,neb
IC1613,IC 1613,1.079942,2.117778,9.54,gal
IC1633,IC 1633,1.165439,-45.931194,11.39,gal
IC1644,IC 1644,1.153614,-73.194111,11.7,neb
IC1727,IC 1727,1.791636,27.333361,11.57,gal
IC1747,IC 1747,1.959925,63.321778,12.0,pn
IC1805,IC 1805,2.544864,61.456889,6.5,oc
IC1848,IC 1848,2.852942,60.402472,6.5,oc
IC1953,IC 1953,3.561631,-21.478639,11.96,gal
IC1954,IC 1954,3.525386,-51.904833,11.58,gal
IC1993,IC 1993,3.784669,-33.709861,11.9,gal
IC2003,IC 2003,3.939453,33.874861,11.4,pn
IC2006,IC 2006,3.907903,-35.967139,11.34,gal
IC2035,IC 2035,4.150519,-45.517528,11.75,gal
IC2051,IC 2051,3.866897,-83.830694,11.23,gal
IC2056,IC 2056,4.273483,-60.206806,11.87,gal
IC2067,IC 2067,4.514175,35.446167,11.49,neb
IC2105,IC 2105,4.824072,-69.200917,11.3,oc
IC2128,IC 2128,5.378936,-68.061083,11.1,oc
IC2145,IC 2145,5.673542,-69.670306,12.0,neb
IC2149,IC 2149,5.939969,46.104778,10.78,pn
IC2163,IC 2163,6.274439,-21.375861,11.11,gal
IC2165,IC 2165,6.361861,-12.987222,10.5,pn
IC2311,IC 2311,8.312772,-25.369750,11.52,gal
IC2448,IC 2448,9.118406,-69.941833,10.4,pn
IC2469,IC 2469,9.383628,-32.449750,11.09,gal
IC2501,IC 2501,9.646439,-60.091861,10.4,pn
IC2522,IC 2522,9.919156,-33.137139,12.0,gal
IC2533,IC 2533,10.008797,-31.245000,11.97,gal
IC2553,IC 2553,10.155797,-62.613694,10.3,pn
IC2554,IC 2554,10.147378,-67.030861,11.7,gal
IC2574,Coddington's Nebula,10.473189,68.412139,10.46,gal
IC2597,IC 2597,10.629847,-27.081694,11.68,gal
IC2621,IC 2621,11.005553,-65.249361,11.2,pn
IC2627,IC 2627,11.164831,-23.725944,12.0,gal
IC2944,lam Cen Nebula,11.596369,-63.019833,4.5,oc
IC3370,IC 3370,12.460369,-39.337778,11.18,gal
IC3568,IC 3568,12.551883,82.563917,10.6,pn
IC3829,IC 3829,12.870361,-29.840667,11.7,gal
IC3896,IC 3896,12.945342,-50.346861,11.31,gal
IC4182,IC 4182,13.097094,37.604889,11.61,gal
IC4191,IC 4191,13.146453,-67.643750,10.6,pn
IC4214,IC 4214,13.295192,-32.101694,11.4,gal
IC4296,IC 4296,13.610842,-33.965833,10.51,gal
IC4329,IC 4329,13.818142,-30.295861,10.97,gal
IC4351,IC 4351,13.965072,-29.315722,11.62,gal
IC4402,IC 4402,14.353636,-46.297889,11.82,gal
IC4406,IC 4406,14.374022,-44.150194,10.2,pn
IC4441,IC 4441,14.527394,-43.418444,11.84,gal
IC4592,IC 4592,16.199631,-19.454667,3.9,neb
IC4593,IC 4593,16.195694,12.071389,10.7,pn
IC4604,rho Oph Nebula,16.425325,-23.436583,5.1,neb
