# Stars — format: id,name,ra_hours,dec_degrees,magnitude,type
# To expand: replace with HYG Database CSV (github.com/astronexus/HYG-Database)
# Stars from HYG Database — id,name,ra_hours,dec_degrees,magnitude,type
HIP1,HIP 1,0.00006,1.089009,9.1,star
HIP2,HIP 2,0.000283,-19.49884,9.27,star
HIP3,HIP 3,0.000335,38.859279,6.61,star
HIP4,HIP 4,0.000569,-51.893546,8.06,star
HIP5,HIP 5,0.000665,-40.591202,8.55,star
HIP6,HIP 6,0.001246,3.946458,12.31,star
HIP7,HIP 7,0.00147,20.036114,9.64,star
HIP8,HIP 8,0.001823,25.886461,9.05,star
HIP9,HIP 9,0.002355,36.585958,8.59,star
HIP10,HIP 10,0.002424,-50.866976,8.59,star
HIP11,HIP 11,0.002488,46.939997,7.34,star
HIP12,HIP 12,0.002727,-35.960225,8.43,star
HIP13,HIP 13,0.00278,-22.594705,8.8,star
HIP14,HIP 14,0.003228,-0.36045,7.25,star
HIP15,HIP 15,0.003356,50.791187,8.6,star
HIP17,HIP 17,0.003401,-40.192392,8.15,star
HIP16,HIP 16,0.003469,-54.914363,11.71,star
HIP18,HIP 18,0.003522,-4.05368,11.03,star
HIP19,HIP 19,0.003554,38.30405,6.53,star
HIP20,HIP 20,0.004203,23.529228,8.51,star
HIP21,HIP 21,0.004426,8.007234,7.55,star
HIP22,HIP 22,0.004674,-49.352266,8.69,star
HIP23,HIP 23,0.004971,13.312234,7.57,star
HIP24,HIP 24,0.005091,-23.452695,9.05,star
HIP25,HIP 25,0.0053,-44.290561,6.28,star
HIP26,HIP 26,0.005606,-13.393378,9.13,star
HIP27,HIP 27,0.00572,-41.297813,9.32,star
HIP28,HIP 28,0.005815,-43.361821,8.83,star
HIP29,HIP 29,0.006146,-49.107945,9.14,star
HIP30,HIP 30,0.006408,42.141474,8.26,star
HIP31,HIP 31,0.006539,2.675477,7.63,star
HIP32,HIP 32,0.006572,51.939487,9.09,star
HIP33,HIP 33,0.006611,-10.462385,8.1,star
HIP34,HIP 34,0.006638,26.918108,6.43,star
HIP35,HIP 35,0.006864,-14.490484,9.07,star
HIP36,HIP 36,0.006893,12.267128,7.68,star
HIP37,HIP 37,0.007022,-47.179567,10.44,star
HIP38,HIP 38,0.007429,-79.061983,8.65,star
HIP39,HIP 39,0.007485,-16.697009,7.46,star
HIP41,HIP 41,0.007771,54.302236,8.7,star
HIP40,HIP 40,0.008131,67.216783,10.61,star
HIP42,HIP 42,0.008362,25.844765,8.2,star
HIP43,HIP 43,0.008593,59.559679,6.18,star
HIP44,HIP 44,0.00885,-3.306323,7.91,star
HIP45,HIP 45,0.008941,-72.202717,9.59,star
HIP46,HIP 46,0.008972,-25.622285,8.57,star
HIP47,HIP 47,0.009006,-56.835602,10.78,star
HIP48,HIP 48,0.009015,-40.690474,7.31,star
HIP49,HIP 49,0.009304,16.669049,9.53,star
HIP50,HIP 50,0.009533,-53.097713,6.49,star
HIP51,HIP 51,0.009561,1.066213,8.94,star
HIP52,HIP 52,0.009781,-77.020116,8.56,star
HIP53,HIP 53,0.009828,-29.263414,10.96,star
HIP54,HIP 54,0.01017,17.968908,10.57,star
HIP55,HIP 55,0.010549,-66.683173,7.4,star
HIP56,HIP 56,0.010862,0.222931,8.12,star
HIP57,HIP 57,0.011212,-69.675965,8.27,star
HIP58,HIP 58,0.011577,62.175898,7.05,star
HIP59,HIP 59,0.01163,55.72246,9.09,star
HIP60,HIP 60,0.011695,-64.465799,8.34,star
HIP61,HIP 61,0.011749,53.822146,8.86,star
HIP62,HIP 62,0.011998,-45.422739,8.27,star
HIP63,HIP 63,0.012119,45.253334,6.36,star
HIP64,HIP 64,0.012305,-27.907582,8.08,star
HIP65,HIP 65,0.012498,-54.830524,11.0,star
HIP66,HIP 66,0.012567,-72.31822,8.55,star
HIP67,HIP 67,0.013288,23.538219,7.83,star
HIP68,HIP 68,0.01336,16.988197,8.79,star
HIP69,HIP 69,0.013427,30.39589,8.33,star
HIP70,HIP 70,0.013512,36.777637,10.42,star
HIP71,HIP 71,0.013803,36.780106,8.26,star
HIP72,HIP 72,0.014661,-12.828961,8.97,star
HIP73,HIP 73,0.014694,66.848011,6.9,star
HIP74,HIP 74,0.014817,35.752624,9.93,star
HIP75,HIP 75,0.014882,-50.446459,7.42,star
HIP76,HIP 76,0.015214,32.825654,9.03,star
HIP77,HIP 77,0.015371,-30.064166,8.41,star
HIP78,HIP 78,0.015487,17.867851,8.06,star
HIP79,HIP 79,0.015718,35.31672,8.69,star
HIP80,HIP 80,0.016187,-11.823739,8.4,star
HIP81,HIP 81,0.016228,-4.932534,8.57,star
HIP82,HIP 82,0.016534,-10.935963,9.5,star
HIP83,HIP 83,0.016538,52.080562,8.85,star
HIP84,HIP 84,0.016824,27.88633,9.61,star
HIP85,HIP 85,0.017075,-24.714048,10.62,star
HIP86,HIP 86,0.017361,69.603505,8.05,star
HIP87,HIP 87,0.017433,-5.835002,7.8,star
HIP88,Tau Phe,0.017941,-48.809876,5.71,star
HIP89,HIP 89,0.018477,53.166943,7.87,star
HIP90,HIP 90,0.018671,-41.887544,7.64,star
HIP91,HIP 91,0.018702,-5.874348,7.66,star
HIP92,HIP 92,0.019379,-20.70555,8.68,star
HIP93,HIP 93,0.01949,-0.076098,8.12,star
HIP94,HIP 94,0.019665,-32.756836,10.1,star
HIP95,HIP 95,0.020134,-11.964034,8.67,star
HIP96,HIP 96,0.02033,13.975088,10.46,star
HIP98,HIP 98,0.020478,-52.798575,9.87,star
HIP97,HIP 97,0.020492,-21.404042,9.48,star
HIP99,HIP 99,0.021069,60.355282,7.04,star
HIP100,HIP 100,0.021092,19.741243,8.44,star
HIP101,HIP 101,0.021315,-47.793831,9.88,star
HIP102,HIP 102,0.021365,-41.487437,7.05,star
HIP103,HIP 103,0.021475,-68.371127,8.29,star
HIP104,HIP 104,0.021776,-31.899618,9.34,star
HIP105,HIP 105,0.021855,70.928938,7.73,star
HIP106,HIP 106,0.022013,49.981558,6.22,star
HIP107,HIP 107,0.022255,-50.337373,5.53,star
HIP108,HIP 108,0.022439,-70.125272,8.53,star
HIP109,HIP 109,0.023106,6.79147,7.23,star
HIP110,HIP 110,0.023242,39.610717,8.61,star
HIP111,HIP 111,0.023314,34.281848,11.28,star
HIP112,HIP 112,0.023843,-16.948446,10.76,star
HIP113,HIP 113,0.024375,49.010406,8.93,star
HIP114,HIP 114,0.024777,30.735785,7.95,star
HIP115,HIP 115,0.024839,-62.92313,7.46,star
HIP116,HIP 116,0.025022,-33.792771,8.6,star
HIP117,HIP 117,0.025363,-72.605899,8.55,star
HIP118,HIP 118,0.025773,-9.430033,9.2,star
HIP119,HIP 119,0.026012,44.675401,6.82,star
HIP120,HIP 120,0.026396,-45.344759,8.29,star
HIP121,HIP 121,0.026429,28.423691,6.83,star
HIP122,The Oct,0.026616,-77.065724,4.78,star
HIP123,HIP 123,0.026675,72.236615,7.21,star
HIP124,HIP 124,0.026949,61.222801,5.58,star
HIP125,HIP 125,0.026979,-39.336748,8.7,star
HIP126,HIP 126,0.027255,14.632324,8.06,star
HIP127,HIP 127,0.027479,-48.935619,10.86,star
HIP128,HIP 128,0.027597,73.611846,6.5,star
HIP129,HIP 129,0.027708,5.372808,9.32,star
HIP130,HIP 130,0.027886,-30.692537,9.14,star
HIP131,HIP 131,0.027994,62.018087,8.13,star
HIP132,HIP 132,0.028135,-34.653545,10.62,star
HIP133,HIP 133,0.02823,-40.148702,6.62,star
HIP134,HIP 134,0.028346,-1.13996,9.96,star
HIP135,HIP 135,0.028453,-0.217777,8.64,star
HIP136,HIP 136,0.028579,24.253113,6.6,star
HIP137,HIP 137,0.028847,42.367144,6.25,star
HIP138,HIP 138,0.029162,-16.531661,7.83,star
HIP139,HIP 139,0.029686,67.506975,10.03,star
HIP140,HIP 140,0.030195,-68.104897,9.04,star
HIP141,HIP 141,0.030232,36.350358,8.47,star
HIP142,HIP 142,0.030251,66.306032,7.33,star
HIP144,HIP 144,0.030342,76.175597,8.66,star
HIP143,HIP 143,0.030374,21.462502,10.35,star
HIP145,29    Psc,0.030402,-3.027504,5.13,star
HIP146,HIP 146,0.030392,-25.798526,8.96,star
HIP147,HIP 147,0.031071,21.026236,8.49,star
HIP149,HIP 149,0.031862,26.004049,11.26,star
HIP148,HIP 148,0.031921,15.528542,8.15,star
HIP150,HIP 150,0.032021,-37.229953,7.04,star
HIP152,HIP 152,0.032295,-28.130948,10.02,star
HIP153,HIP 153,0.032301,12.654888,8.9,star
HIP151,HIP 151,0.03232,-41.613774,7.78,star
HIP154,30    Psc,0.032672,-6.014072,4.37,star
HIP155,HIP 155,0.032745,46.269156,9.93,star
HIP156,HIP 156,0.033127,63.357826,8.6,star
HIP157,HIP 157,0.033362,-5.213925,8.51,star
HIP158,HIP 158,0.033384,-37.901878,7.09,star
HIP159,HIP 159,0.03406,-2.766171,6.93,star
HIP160,HIP 160,0.034117,-69.269198,8.68,star
HIP161,HIP 161,0.034162,33.695958,8.98,star
HIP162,HIP 162,0.034224,27.118603,9.84,star
HIP163,HIP 163,0.034479,-30.685228,8.98,star
HIP164,HIP 164,0.03459,59.940102,7.98,star
HIP165,HIP 165,0.034649,-22.327486,10.16,star
HIP166,HIP 166,0.034761,-56.514931,8.86,star
HIP167,HIP 167,0.035188,39.183203,8.58,star
HIP168,HIP 168,0.035562,-2.820072,9.56,star
HIP169,HIP 169,0.035702,-68.280769,9.24,star
HIP170,HIP 170,0.03584,-20.871662,9.63,star
HIP171,85    Peg,0.036139,27.082256,5.8,star
HIP172,HIP 172,0.036192,67.408952,9.05,star
HIP173,HIP 173,0.036639,47.577206,8.45,star
HIP174,HIP 174,0.036774,59.965338,8.86,star
HIP175,HIP 175,0.036828,49.771086,7.84,star
HIP176,HIP 176,0.036892,44.428262,8.86,star
HIP177,HIP 177,0.037348,-11.964352,8.93,star
HIP178,HIP 178,0.037869,-27.135153,7.97,star
HIP179,HIP 179,0.037966,-13.407437,6.9,star
HIP180,HIP 180,0.038061,-9.174928,8.47,star
HIP181,HIP 181,0.038253,60.703168,6.77,star
HIP182,HIP 182,0.038746,52.586407,8.55,star
HIP183,Zet Scl,0.038867,-29.720414,5.04,star
HIP184,HIP 184,0.039318,11.006236,8.48,star
HIP185,HIP 185,0.039336,10.785363,8.53,star
HIP186,31    Psc,0.040046,8.956824,6.33,star
HIP187,HIP 187,0.040152,-6.05927,8.99,star
HIP188,HIP 188,0.040179,6.333013,8.64,star
HIP189,HIP 189,0.04035,54.135139,9.55,star
HIP190,HIP 190,0.040362,10.776364,8.74,star
HIP191,HIP 191,0.04085,-46.028896,12.43,star
HIP192,HIP 192,0.041322,8.393859,8.16,star
HIP193,HIP 193,0.041447,-39.212591,9.46,star
HIP194,32    Psc,0.041584,8.485463,5.7,star
HIP195,HIP 195,0.041718,47.42289,7.62,star
HIP196,HIP 196,0.0418,51.829976,8.95,star
HIP197,HIP 197,0.042154,42.147779,8.97,star
HIP198,HIP 198,0.042183,15.335173,8.94,star
HIP199,HIP 199,0.042334,16.256565,7.24,star
HIP200,HIP 200,0.042366,-33.992633,10.32,star
HIP201,HIP 201,0.042619,18.683407,8.24,star
HIP202,HIP 202,0.042783,54.552139,8.62,star
HIP203,HIP 203,0.042819,-15.831251,9.18,star
HIP204,HIP 204,0.043012,-43.947929,8.53,star
HIP205,HIP 205,0.043043,-5.186651,8.54,star
HIP206,HIP 206,0.04312,18.836044,8.56,star
HIP208,HIP 208,0.043332,-67.634287,9.41,star
HIP207,HIP 207,0.043357,66.098966,5.87,star
HIP209,HIP 209,0.044012,66.100399,7.2,star
HIP210,HIP 210,0.044143,-8.487955,9.05,star
HIP211,HIP 211,0.044214,-37.947721,9.52,star
HIP212,HIP 212,0.044233,-29.075247,10.24,star
HIP213,HIP 213,0.044464,51.472401,7.7,star
HIP214,HIP 214,0.044611,28.542221,8.17,star
HIP217,HIP 217,0.044959,82.973202,7.29,star
HIP215,HIP 215,0.044967,75.036211,9.26,star
HIP216,HIP 216,0.045126,42.920649,7.94,star
HIP218,HIP 218,0.045312,-57.63367,8.42,star
HIP219,HIP 219,0.04602,6.0344,8.56,star
HIP220,HIP 220,0.046118,35.815467,7.52,star
HIP221,HIP 221,0.046222,80.282283,7.74,star
HIP222,HIP 222,0.046298,-40.983229,8.85,star
HIP224,HIP 224,0.046417,3.860416,9.01,star
HIP223,HIP 223,0.046437,2.130155,7.17,star
HIP225,HIP 225,0.046674,-15.040543,9.04,star
HIP226,HIP 226,0.046696,-24.945298,10.3,star
HIP227,HIP 227,0.046952,80.286579,9.86,star
HIP228,HIP 228,0.04735,28.251905,7.64,star
HIP229,HIP 229,0.047599,47.252268,8.27,star
HIP230,HIP 230,0.047724,30.336542,8.44,star
HIP231,HIP 231,0.04824,-58.781398,9.58,star
HIP232,HIP 232,0.048674,-30.149773,8.43,star
HIP233,HIP 233,0.048797,71.358516,8.49,star
HIP234,HIP 234,0.048906,70.238,9.64,star
HIP235,HIP 235,0.049098,71.36803,9.17,star
HIP236,HIP 236,0.049191,-0.893874,8.09,star
HIP237,HIP 237,0.049284,-39.527412,9.0,star
HIP238,HIP 238,0.049301,-20.045882,6.25,star
HIP239,HIP 239,0.049546,3.381932,8.56,star
HIP240,HIP 240,0.049582,9.795231,10.81,star
HIP241,HIP 241,0.050135,9.138279,8.76,star
HIP242,HIP 242,0.050148,-34.743939,7.76,star
HIP243,HIP 243,0.050224,-60.691901,7.82,star
HIP244,HIP 244,0.050591,39.995144,7.9,star
HIP245,HIP 245,0.050916,-7.815517,8.52,star
HIP246,HIP 246,0.050941,56.733298,9.73,star
HIP247,HIP 247,0.051029,8.261293,9.19,star
HIP248,HIP 248,0.051044,8.270683,8.1,star
HIP249,HIP 249,0.051615,31.870083,8.75,star
HIP250,HIP 250,0.05162,52.465128,8.14,star
HIP251,HIP 251,0.051689,-25.261114,8.65,star
HIP252,HIP 252,0.051975,29.485979,10.3,star
HIP253,HIP 253,0.052181,-24.145145,6.46,star
HIP254,HIP 254,0.052317,42.747908,6.73,star
HIP255,HIP 255,0.052977,-24.588258,7.96,star
HIP256,HIP 256,0.053107,54.515774,9.53,star
HIP257,HIP 257,0.053537,-31.212384,8.87,star
HIP258,HIP 258,0.053698,17.552268,6.59,star
HIP259,HIP 259,0.053727,48.722294,8.65,star
HIP260,HIP 260,0.054478,-55.40507,9.64,star
HIP261,HIP 261,0.054702,-23.615434,9.15,star
HIP262,HIP 262,0.055061,32.845864,9.04,star
HIP263,HIP 263,0.055279,4.686928,12.04,star
HIP264,HIP 264,0.055472,38.244012,8.42,star
HIP266,HIP 266,0.055689,-11.945367,8.09,star
HIP265,HIP 265,0.055692,-64.476095,9.06,star
HIP267,HIP 267,0.05569,-4.145757,8.09,star
HIP268,HIP 268,0.05612,59.078605,8.18,star
HIP269,HIP 269,0.056135,23.575034,8.77,star
HIP270,HIP 270,0.056667,73.174497,7.36,star
HIP271,HIP 271,0.056855,-35.965164,9.16,star
HIP272,HIP 272,0.057037,-26.415185,8.82,star
HIP273,HIP 273,0.057124,-46.830972,11.14,star
HIP274,HIP 274,0.057143,63.64052,6.24,star
HIP275,HIP 275,0.057174,-29.000663,9.44,star
HIP276,HIP 276,0.057203,20.66553,7.49,star
HIP277,HIP 277,0.057297,-36.251193,6.96,star
HIP278,HIP 278,0.057541,55.5509,7.94,star
HIP279,HIP 279,0.057585,62.357806,8.69,star
HIP280,HIP 280,0.057749,53.312689,8.15,star
HIP281,HIP 281,0.058413,55.059961,8.45,star
HIP282,HIP 282,0.058428,19.381496,7.92,star
HIP283,HIP 283,0.058475,12.356821,7.45,star
HIP284,HIP 284,0.05856,-65.827505,9.01,star
HIP285,HIP 285,0.058721,-35.60223,8.55,star
HIP286,HIP 286,0.058756,78.717826,9.23,star
HIP287,HIP 287,0.059057,-13.227292,9.16,star
HIP288,HIP 288,0.059267,42.352106,7.9,star
HIP289,HIP 289,0.060158,-51.8091,8.68,star
HIP290,HIP 290,0.060289,-31.094137,7.78,star
HIP291,HIP 291,0.060305,-28.417137,8.21,star
HIP292,HIP 292,0.060582,70.306028,8.11,star
HIP293,HIP 293,0.061064,-57.164462,8.29,star
HIP294,HIP 294,0.06114,3.906973,7.89,star
HIP295,HIP 295,0.061246,-41.095885,9.67,star
HIP296,HIP 296,0.061517,-28.396196,8.24,star
HIP297,HIP 297,0.061626,48.436907,6.8,star
HIP298,HIP 298,0.061801,13.365166,8.18,star
HIP299,HIP 299,0.06225,-63.600667,8.44,star
HIP301,2    Cet,0.06233,-17.335988,4.55,star
HIP300,HIP 300,0.06234,42.023522,7.45,star
HIP302,HIP 302,0.064342,66.712183,6.31,star
HIP303,HIP 303,0.064616,57.378277,8.15,star
HIP304,HIP 304,0.064653,22.296047,8.27,star
HIP305,HIP 305,0.064819,-28.393812,7.66,star
HIP306,HIP 306,0.065007,-57.8305,8.59,star
HIP307,HIP 307,0.065329,-42.559484,11.55,star
HIP308,HIP 308,0.065582,14.378864,7.09,star
HIP309,HIP 309,0.065729,-45.288616,8.54,star
HIP310,HIP 310,0.065845,-43.191813,9.58,star
HIP311,HIP 311,0.065842,36.970256,8.44,star
HIP312,HIP 312,0.065973,61.103636,8.59,star
HIP313,HIP 313,0.066077,-48.125185,8.01,star
HIP314,HIP 314,0.06611,20.953729,8.29,star
HIP315,HIP 315,0.066148,-71.278716,9.62,star
HIP316,HIP 316,0.066736,12.145797,7.26,star
HIP317,HIP 317,0.066844,-80.395115,7.91,star
HIP318,HIP 318,0.06731,-38.594754,9.45,star
HIP319,HIP 319,0.067721,62.22195,8.19,star
HIP320,HIP 320,0.06809,-16.997642,12.14,star
HIP321,HIP 321,0.068863,-25.892663,8.93,star
HIP322,HIP 322,0.069009,56.920983,7.65,star
HIP324,HIP 324,0.069494,17.436643,8.53,star
HIP323,HIP 323,0.069514,49.870181,7.38,star
HIP325,HIP 325,0.069593,39.119902,8.56,star
HIP326,HIP 326,0.069655,11.264375,8.76,star
HIP327,HIP 327,0.069748,-4.926111,9.56,star
HIP328,HIP 328,0.069972,-30.134913,7.09,star
HIP329,HIP 329,0.070115,-10.141117,9.83,star
HIP330,9    Cas,0.070462,62.287664,5.9,star
HIP331,HIP 331,0.070635,-26.952385,10.8,star
HIP332,HIP 332,0.070733,-34.414716,8.41,star
HIP333,HIP 333,0.070868,-17.42489,9.05,star
HIP334,HIP 334,0.070923,60.155015,8.79,star
HIP335,HIP 335,0.071071,14.081538,8.88,star
HIP336,HIP 336,0.071106,65.152987,7.59,star
HIP337,HIP 337,0.071128,-25.915452,9.6,star
HIP338,HIP 338,0.071156,66.349126,10.66,star
HIP339,HIP 339,0.071251,-59.315191,8.55,star
HIP340,HIP 340,0.07159,-43.988457,8.11,star
HIP341,HIP 341,0.071833,-23.253965,9.44,star
HIP342,HIP 342,0.071937,-20.568871,9.6,star
HIP343,HIP 343,0.072165,-16.529036,5.78,star
HIP344,HIP 344,0.072243,40.109948,10.66,star
HIP345,HIP 345,0.07231,-29.268822,6.38,star
HIP346,HIP 346,0.07253,-53.909434,8.8,star
HIP347,HIP 347,0.072581,54.274591,7.79,star
HIP348,HIP 348,0.072638,12.957292,8.6,star
HIP349,HIP 349,0.07303,-29.381573,7.77,star
HIP350,HIP 350,0.073281,-57.322694,10.37,star
HIP351,HIP 351,0.073556,-47.068048,9.8,star
HIP352,HIP 352,0.074078,58.068692,10.42,star
HIP353,HIP 353,0.074107,-44.56729,11.63,star
HIP354,HIP 354,0.07489,51.829292,9.22,star
HIP355,3    Cet,0.075033,-10.509523,4.99,star
HIP356,HIP 356,0.07504,-6.965379,8.43,star
HIP357,HIP 357,0.075148,-72.897321,7.33,star
HIP358,HIP 358,0.07596,-76.346492,8.93,star
HIP359,HIP 359,0.076313,-76.873574,9.09,star
HIP360,HIP 360,0.076367,71.968543,9.26,star
HIP361,HIP 361,0.076522,-71.695006,8.73,star
HIP362,HIP 362,0.076708,-19.437893,9.18,star
HIP363,HIP 363,0.07678,43.551312,8.12,star
HIP364,HIP 364,0.076802,-15.889228,9.26,star
HIP366,HIP 366,0.076833,-31.16905,8.94,star
HIP365,HIP 365,0.07683,42.09253,6.11,star
HIP367,HIP 367,0.077041,-81.345318,9.13,star
HIP368,HIP 368,0.077075,2.937228,7.9,star
HIP369,HIP 369,0.077259,29.72228,9.34,star
HIP370,HIP 370,0.077295,-51.583329,7.13,star
HIP371,HIP 371,0.077358,-50.035925,10.82,star
